rep, VT_rate, phenotype, count, partner
10, NONE, 0000000000000000000000000000000000000000000000000000000000010011, 2, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000001100, 2, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000011011, 1, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000011001, 1, host
10, NONE, 0000000000000000000000000000000000000000000000000000000010001010, 2, host
10, NONE, 0000000000000000000000000000000000000000000000000000000001010101, 1, host
10, NONE, 0000000000000000000000000000000000000000000000000000000010000110, 2, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000010110, 1, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000001111, 1, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000000110, 121, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000000011, 144, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000000001, 1078, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000011000, 3, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000000100, 41, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000001011, 46, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000100010, 8, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 7164, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000100000, 16, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000001001, 116, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000001010, 278, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000100001, 3, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000000010, 856, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000010000, 27, host
10, NONE, 0000000000000000000000000000000000000000000000000000000010000011, 1, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000001000, 50, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000010001, 2, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000000101, 5, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000010100, 8, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000000111, 14, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000001101, 2, host
10, NONE, 0000000000000000000000000000000000000000000000000000000001000001, 1, host
10, NONE, 0000000000000000000000000000000000000000000000000000000000010010, 3, host
11, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 10000, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000100000, 11, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000001001, 15, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000001000, 28, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000000101, 7, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000000110, 2, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000000100, 26, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 7471, host
12, NONE, 0000000000000000000000000000000000000000000000000000000001000101, 2, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000000001, 2171, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000000010, 170, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000000011, 50, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000010001, 5, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000010000, 18, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000100001, 4, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000001010, 1, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000101011, 1, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000001101, 1, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000010101, 1, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000010100, 9, host
12, NONE, 0000000000000000000000000000000000000000000000000000000001000011, 1, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000001100, 3, host
12, NONE, 0000000000000000000000000000000000000000000000000000000001010001, 1, host
12, NONE, 0000000000000000000000000000000000000000000000000000000000100010, 2, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000100110, 1, host
13, NONE, 0000000000000000000000000000000000000000000000000000000001000001, 1, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000010010, 1, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000010111, 2, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000011000, 2, host
13, NONE, 0000000000000000000000000000000000000000000000000000000110000110, 1, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000001110, 1, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000011001, 1, host
13, NONE, 0000000000000000000000000000000000000000000000000000000001010001, 1, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000100010, 3, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000000111, 37, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000001001, 40, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000100000, 17, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000001011, 9, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 7607, host
13, NONE, 0000000000000000000000000000000000000000000000000000000010001010, 1, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000000001, 1124, host
13, NONE, 0000000000000000000000000000000000000000000000000000000001000000, 1, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000010001, 7, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000000110, 358, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000000010, 503, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000000100, 76, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000000011, 75, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000011010, 1, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000001000, 29, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000010100, 12, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000001010, 45, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000100001, 4, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000000101, 4, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000010000, 33, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000001100, 1, host
13, NONE, 0000000000000000000000000000000000000000000000000000000000001101, 2, host
14, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 10000, host
15, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 10000, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000101001, 1, host
16, NONE, 0000000000000000000000000000000000000000000000000000000100010000, 1, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000001101, 1, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000010011, 1, host
16, NONE, 0000000000000000000000000000000000000000000000000000000010001011, 1, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000000111, 2, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000011001, 1, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000100011, 2, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000010000, 24, host
16, NONE, 0000000000000000000000000000000000000000000000000000000001010101, 1, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000001000, 162, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000000100, 24, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000000011, 100, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000000001, 2112, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000011000, 3, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 6697, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000010010, 2, host
16, NONE, 0000000000000000000000000000000000000000000000000000000001000001, 2, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000111001, 1, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000001010, 45, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000100001, 4, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000001001, 352, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000100000, 6, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000000010, 397, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000010110, 1, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000000110, 8, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000010100, 12, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000001011, 19, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000100010, 3, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000000101, 5, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000010001, 9, host
16, NONE, 0000000000000000000000000000000000000000000000000000000000010101, 1, host
17, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 10000, host
18, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 10000, host
19, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 10000, host
20, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 10000, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000010101, 1, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000011100, 1, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000011001, 1, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000100001, 1, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000100101, 1, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000000100, 22, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000001000, 31, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000100000, 14, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000001001, 10, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000011000, 3, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000000001, 2075, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000000010, 188, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 7551, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000010100, 7, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000000011, 45, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000010000, 24, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000010001, 8, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000000110, 1, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000000111, 1, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000000101, 6, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000010010, 1, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000001111, 1, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000001100, 2, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000010011, 2, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000100010, 2, host
21, NONE, 0000000000000000000000000000000000000000000000000000000000001010, 1, host
22, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 10000, host
23, NONE, 0000000000000000000000000000000000000000000000000000000010001010, 1, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000010101, 1, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000100100, 1, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000010110, 1, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000011101, 1, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000001011, 2, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000100011, 1, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000001110, 3, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000010000, 28, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000001010, 6, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000100001, 2, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000000011, 57, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000001000, 29, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000000110, 517, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 7442, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000010111, 2, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000000001, 854, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000011000, 2, host
23, NONE, 0000000000000000000000000000000000000000000000000000000010000110, 1, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000010011, 1, host
23, NONE, 0000000000000000000000000000000000000000000000000000000000010010, 1, host
