rep, VT_rate, host_pm, host_fm, sym_pm, sym_fm
10, NONE, -1, -nan, NA, NA
11, NONE, -1, -nan, NA, NA
12, NONE, 0.655873, 0.04, NA, NA
13, NONE, -1, -nan, NA, NA
14, NONE, -1, -nan, NA, NA
15, NONE, -1, -nan, NA, NA
16, NONE, -1, -nan, NA, NA
17, NONE, -1, -nan, NA, NA
18, NONE, -1, -nan, NA, NA
19, NONE, -1, -nan, NA, NA
20, NONE, -1, -nan, NA, NA
21, NONE, 0.487537, 0.045, NA, NA
22, NONE, -1, -nan, NA, NA
23, NONE, -1, -nan, NA, NA
24, NONE, -1, -nan, NA, NA
25, NONE, -1, -nan, NA, NA
26, NONE, -1, -nan, NA, NA
27, NONE, -1, -nan, NA, NA
28, NONE, -1, -nan, NA, NA
29, NONE, -1, -nan, NA, NA
10, 0.2, -1, -nan, -1, -nan
11, 0.2, -1, -nan, -1, -nan
12, 0.2, -1, -nan, -1, -nan
13, 0.2, -1, -nan, -1, -nan
14, 0.2, -1, -nan, -1, -nan
15, 0.2, -1, -nan, -1, -nan
16, 0.2, -1, -nan, -1, -nan
17, 0.2, -1, -nan, -1, -nan
18, 0.2, -1, -nan, -1, -nan
19, 0.2, -1, -nan, -1, -nan
20, 0.2, -1, -nan, -1, -nan
21, 0.2, -1, -nan, -1, -nan
22, 0.2, 0.962, 0.02, -1, -nan
23, 0.2, -1, -nan, -1, -nan
24, 0.2, -1, -nan, -1, -nan
25, 0.2, -1, -nan, -1, -nan
26, 0.2, -1, -nan, -1, -nan
27, 0.2, -1, -nan, -1, -nan
28, 0.2, -1, -nan, -1, -nan
29, 0.2, -1, -nan, -1, -nan
10, 0.8, -1, -nan, -1, -nan
11, 0.8, -1, -nan, -1, -nan
12, 0.8, -1, -nan, -1, -nan
13, 0.8, -1, -nan, -1, -nan
14, 0.8, -1, -nan, -1, -nan
15, 0.8, -1, -nan, -1, -nan
16, 0.8, -1, -nan, -1, -nan
17, 0.8, -1, -nan, -1, -nan
18, 0.8, -1, -nan, -1, -nan
19, 0.8, -1, -nan, -1, -nan
20, 0.8, -1, -nan, -1, -nan
21, 0.8, -1, -nan, -1, -nan
22, 0.8, -1, -nan, -1, -nan
23, 0.8, -1, -nan, -1, -nan
24, 0.8, -1, -nan, -1, -nan
25, 0.8, -1, -nan, -1, -nan
26, 0.8, -1, -nan, -1, -nan
27, 0.8, -1, -nan, -1, -nan
28, 0.8, -1, -nan, -1, -nan
29, 0.8, 0.788, 0.02, -1, -nan
