vert,rep,update,partner,donate_calls,donated,earned,steal_calls,stolen,mutualism,attempts_horiz,success_horiz,attempts_vert,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,10,0,host,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
No symbiont,10,5000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.99264e+06,0,399,173,406,12,0,0,0
No symbiont,10,10000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.24198e+06,547,209,106,200,16,0,0,0
No symbiont,10,15000,host,0,0,0,NA,NA,NA,NA,NA,NA,981145,662,132,79,129,13,0,0,0
No symbiont,10,20000,host,0,0,0,NA,NA,NA,NA,NA,NA,829675,1161,95,55,110,8,0,0,0
No symbiont,10,25000,host,0,0,0,NA,NA,NA,NA,NA,NA,745312,1466,73,59,106,16,2,0,0
No symbiont,10,30000,host,0,0,0,NA,NA,NA,NA,NA,NA,711373,1516,53,53,84,17,2,0,0
No symbiont,10,35000,host,0,0,0,NA,NA,NA,NA,NA,NA,679334,2275,54,65,68,11,1,0,0
No symbiont,10,40000,host,0,0,0,NA,NA,NA,NA,NA,NA,638806,2621,49,50,71,10,0,0,0
No symbiont,10,45000,host,0,0,0,NA,NA,NA,NA,NA,NA,612861,2538,54,75,85,13,4,1,0
No symbiont,10,50000,host,0,0,0,NA,NA,NA,NA,NA,NA,603497,2739,57,53,88,11,4,0,0
No symbiont,10,55000,host,0,0,0,NA,NA,NA,NA,NA,NA,602683,3896,50,46,70,13,1,0,0
No symbiont,10,60000,host,0,0,0,NA,NA,NA,NA,NA,NA,589550,3910,62,77,82,11,3,0,0
No symbiont,10,65000,host,0,0,0,NA,NA,NA,NA,NA,NA,579193,5280,72,77,96,23,4,0,0
No symbiont,10,70000,host,0,0,0,NA,NA,NA,NA,NA,NA,583278,6678,66,76,102,11,3,0,0
No symbiont,10,75000,host,0,0,0,NA,NA,NA,NA,NA,NA,582523,8424,74,107,96,28,6,0,1
No symbiont,10,80000,host,0,0,0,NA,NA,NA,NA,NA,NA,593179,8806,58,118,115,19,2,1,0
No symbiont,10,85000,host,0,0,0,NA,NA,NA,NA,NA,NA,588683,8187,98,114,109,32,8,0,0
No symbiont,10,90000,host,0,0,0,NA,NA,NA,NA,NA,NA,593464,7733,74,116,144,25,9,0,0
No symbiont,10,95000,host,0,0,0,NA,NA,NA,NA,NA,NA,600341,9407,125,137,161,27,13,0,0
No symbiont,10,100000,host,0,0,0,NA,NA,NA,NA,NA,NA,612425,11090,257,129,157,31,11,0,0
No symbiont,10,105000,host,0,0,0,NA,NA,NA,NA,NA,NA,621378,10892,264,133,183,32,15,0,0
No symbiont,10,110000,host,0,0,0,NA,NA,NA,NA,NA,NA,616393,12641,424,170,199,37,15,0,0
No symbiont,10,115000,host,0,0,0,NA,NA,NA,NA,NA,NA,642301,15557,440,182,185,40,15,2,0
No symbiont,10,120000,host,0,0,0,NA,NA,NA,NA,NA,NA,665672,16269,445,192,220,49,13,0,0
No symbiont,10,125000,host,0,0,0,NA,NA,NA,NA,NA,NA,691638,16110,462,197,268,61,18,0,0
No symbiont,10,130000,host,0,0,0,NA,NA,NA,NA,NA,NA,681842,18066,384,472,274,59,21,0,0
No symbiont,10,135000,host,0,0,0,NA,NA,NA,NA,NA,NA,692600,17024,381,728,271,59,21,3,0
No symbiont,10,140000,host,0,0,0,NA,NA,NA,NA,NA,NA,709912,18715,582,1161,344,75,13,1,0
No symbiont,10,145000,host,0,0,0,NA,NA,NA,NA,NA,NA,741725,19141,579,1265,314,88,17,0,0
No symbiont,10,150000,host,0,0,0,NA,NA,NA,NA,NA,NA,756069,20742,596,897,354,71,31,1,0
No symbiont,10,155000,host,0,0,0,NA,NA,NA,NA,NA,NA,754396,20666,258,900,357,92,30,2,0
No symbiont,10,160000,host,0,0,0,NA,NA,NA,NA,NA,NA,749440,24176,219,668,376,115,25,1,0
No symbiont,10,165000,host,0,0,0,NA,NA,NA,NA,NA,NA,736965,26763,233,428,380,94,23,2,0
No symbiont,10,170000,host,0,0,0,NA,NA,NA,NA,NA,NA,742514,28779,289,463,382,97,30,0,0
No symbiont,10,175000,host,0,0,0,NA,NA,NA,NA,NA,NA,748511,28705,272,435,414,127,30,1,0
No symbiont,10,180000,host,0,0,0,NA,NA,NA,NA,NA,NA,755448,28256,277,475,407,128,34,0,0
No symbiont,10,185000,host,0,0,0,NA,NA,NA,NA,NA,NA,736824,28439,284,461,437,134,26,0,0
No symbiont,10,190000,host,0,0,0,NA,NA,NA,NA,NA,NA,748799,32197,298,406,387,132,39,0,0
No symbiont,10,195000,host,0,0,0,NA,NA,NA,NA,NA,NA,761606,34907,290,558,479,128,30,0,0
No symbiont,10,200000,host,0,0,0,NA,NA,NA,NA,NA,NA,773266,35565,292,751,505,138,40,1,0
No symbiont,10,205000,host,0,0,0,NA,NA,NA,NA,NA,NA,769679,35253,330,1461,496,137,38,1,0
No symbiont,10,210000,host,0,0,0,NA,NA,NA,NA,NA,NA,755601,40579,346,1367,509,123,46,1,0
No symbiont,10,215000,host,0,0,0,NA,NA,NA,NA,NA,NA,751346,42207,317,940,509,157,39,1,1
No symbiont,10,220000,host,0,0,0,NA,NA,NA,NA,NA,NA,756158,39504,361,1237,538,165,34,0,0
No symbiont,10,225000,host,0,0,0,NA,NA,NA,NA,NA,NA,753087,41426,390,935,480,154,30,0,0
No symbiont,10,230000,host,0,0,0,NA,NA,NA,NA,NA,NA,740527,42984,344,1013,519,153,44,2,0
No symbiont,10,235000,host,0,0,0,NA,NA,NA,NA,NA,NA,723036,43807,327,1084,511,145,31,0,0
No symbiont,10,240000,host,0,0,0,NA,NA,NA,NA,NA,NA,728836,47668,347,1342,537,141,26,0,0
No symbiont,10,245000,host,0,0,0,NA,NA,NA,NA,NA,NA,730942,51773,331,1068,527,148,28,1,1
No symbiont,10,250000,host,0,0,0,NA,NA,NA,NA,NA,NA,753510,47721,334,476,530,161,34,0,0
No symbiont,10,255000,host,0,0,0,NA,NA,NA,NA,NA,NA,749061,44217,493,438,506,155,38,4,0
No symbiont,10,260000,host,0,0,0,NA,NA,NA,NA,NA,NA,743189,42485,942,436,521,195,45,1,0
No symbiont,10,265000,host,0,0,0,NA,NA,NA,NA,NA,NA,741187,41653,628,393,574,174,39,2,0
No symbiont,10,270000,host,0,0,0,NA,NA,NA,NA,NA,NA,733629,43320,312,403,549,190,36,1,1
No symbiont,10,275000,host,0,0,0,NA,NA,NA,NA,NA,NA,730334,43524,348,560,576,176,48,0,0
No symbiont,10,280000,host,0,0,0,NA,NA,NA,NA,NA,NA,721529,43947,345,824,547,176,28,0,0
No symbiont,10,285000,host,0,0,0,NA,NA,NA,NA,NA,NA,730103,40624,372,637,553,169,40,0,0
No symbiont,10,290000,host,0,0,0,NA,NA,NA,NA,NA,NA,739099,44215,361,676,569,175,40,2,0
No symbiont,10,295000,host,0,0,0,NA,NA,NA,NA,NA,NA,752409,48740,397,518,595,160,28,0,0
No symbiont,10,300000,host,0,0,0,NA,NA,NA,NA,NA,NA,745301,48702,401,477,618,192,47,1,0
No symbiont,10,305000,host,0,0,0,NA,NA,NA,NA,NA,NA,729390,49937,362,482,652,195,37,1,0
No symbiont,10,310000,host,0,0,0,NA,NA,NA,NA,NA,NA,731541,52272,412,433,525,183,29,2,0
No symbiont,10,315000,host,0,0,0,NA,NA,NA,NA,NA,NA,731748,50844,407,521,519,174,46,2,0
No symbiont,10,320000,host,0,0,0,NA,NA,NA,NA,NA,NA,728900,48841,986,408,537,194,33,1,0
No symbiont,10,325000,host,0,0,0,NA,NA,NA,NA,NA,NA,728350,46139,1152,395,509,169,48,3,0
No symbiont,10,330000,host,0,0,0,NA,NA,NA,NA,NA,NA,729129,43410,956,443,539,195,35,1,0
No symbiont,10,335000,host,0,0,0,NA,NA,NA,NA,NA,NA,742960,43324,994,463,585,209,39,1,0
No symbiont,10,340000,host,0,0,0,NA,NA,NA,NA,NA,NA,728221,43200,990,447,614,189,42,1,0
No symbiont,10,345000,host,0,0,0,NA,NA,NA,NA,NA,NA,740487,46278,966,463,547,190,50,4,0
No symbiont,10,350000,host,0,0,0,NA,NA,NA,NA,NA,NA,723556,48622,1033,475,551,180,46,1,0
No symbiont,10,355000,host,0,0,0,NA,NA,NA,NA,NA,NA,706811,48693,1103,446,588,196,49,0,0
No symbiont,10,360000,host,0,0,0,NA,NA,NA,NA,NA,NA,714701,45492,1595,502,597,222,50,0,0
No symbiont,10,365000,host,0,0,0,NA,NA,NA,NA,NA,NA,716102,48529,1511,418,562,203,46,4,0
No symbiont,10,370000,host,0,0,0,NA,NA,NA,NA,NA,NA,716452,49140,1342,431,603,225,56,1,0
No symbiont,10,375000,host,0,0,0,NA,NA,NA,NA,NA,NA,728478,55254,1489,7546,581,216,46,1,0
No symbiont,10,380000,host,0,0,0,NA,NA,NA,NA,NA,NA,711363,108323,5867,33856,615,214,51,6,0
No symbiont,10,385000,host,0,0,0,NA,NA,NA,NA,NA,NA,599368,261745,42820,117430,657,204,37,12,0
No symbiont,10,390000,host,0,0,0,NA,NA,NA,NA,NA,NA,414830,525777,127953,225329,714,149,26,26,0
No symbiont,10,395000,host,0,0,0,NA,NA,NA,NA,NA,NA,331343,606654,155581,236725,692,147,19,35,1
No symbiont,10,400000,host,0,0,0,NA,NA,NA,NA,NA,NA,337618,599969,190318,253002,632,145,30,25,0
No symbiont,10,405000,host,0,0,0,NA,NA,NA,NA,NA,NA,385990,620644,215118,254727,803,159,32,46,1
No symbiont,10,410000,host,0,0,0,NA,NA,NA,NA,NA,NA,394094,641732,255307,215150,770,157,32,31,3
No symbiont,10,415000,host,0,0,0,NA,NA,NA,NA,NA,NA,385885,639155,278235,190843,765,146,33,29,0
No symbiont,10,420000,host,0,0,0,NA,NA,NA,NA,NA,NA,416753,644682,243827,232551,705,131,43,27,2
No symbiont,10,425000,host,0,0,0,NA,NA,NA,NA,NA,NA,418819,646057,282167,229336,672,122,25,39,2
No symbiont,10,430000,host,0,0,0,NA,NA,NA,NA,NA,NA,397678,633333,264558,226623,712,121,38,42,2
No symbiont,10,435000,host,0,0,0,NA,NA,NA,NA,NA,NA,394103,623894,234560,252431,680,135,33,35,2
No symbiont,10,440000,host,0,0,0,NA,NA,NA,NA,NA,NA,423381,613581,214264,308521,700,128,44,42,2
No symbiont,10,445000,host,0,0,0,NA,NA,NA,NA,NA,NA,458060,590480,189889,334376,866,131,40,36,4
No symbiont,10,450000,host,0,0,0,NA,NA,NA,NA,NA,NA,485486,564988,196112,325365,742,124,44,42,0
No symbiont,10,455000,host,0,0,0,NA,NA,NA,NA,NA,NA,490529,578303,210372,357178,689,110,48,34,0
No symbiont,10,460000,host,0,0,0,NA,NA,NA,NA,NA,NA,526137,576598,196370,406367,696,142,59,42,0
No symbiont,10,465000,host,0,0,0,NA,NA,NA,NA,NA,NA,561163,543649,151972,407848,714,132,65,32,0
No symbiont,10,470000,host,0,0,0,NA,NA,NA,NA,NA,NA,544694,555906,112293,460970,710,143,60,38,2
No symbiont,10,475000,host,0,0,0,NA,NA,NA,NA,NA,NA,556934,529053,76914,494889,727,123,74,34,0
No symbiont,10,480000,host,0,0,0,NA,NA,NA,NA,NA,NA,586040,509742,103276,413656,1611,169,66,39,0
No symbiont,10,485000,host,0,0,0,NA,NA,NA,NA,NA,NA,511179,571014,103720,420200,782,157,57,36,1
No symbiont,10,490000,host,0,0,0,NA,NA,NA,NA,NA,NA,493193,622500,108604,502286,745,153,53,48,0
No symbiont,10,495000,host,0,0,0,NA,NA,NA,NA,NA,NA,460553,626601,111392,503863,699,153,42,41,1
No symbiont,10,500000,host,0,0,0,NA,NA,NA,NA,NA,NA,429205,645346,136163,458531,712,126,38,50,0
No symbiont,10,505000,host,0,0,0,NA,NA,NA,NA,NA,NA,169241,2.18148e+06,393715,8.2239e+06,272,111,47,282,0
No symbiont,10,510000,host,0,0,0,NA,NA,NA,NA,NA,NA,34,63575,0,306983,0,0,0,10,0
No symbiont,10,515000,host,0,0,0,NA,NA,NA,NA,NA,NA,37,67307,0,306447,0,0,0,6,0
No symbiont,10,520000,host,0,0,0,NA,NA,NA,NA,NA,NA,45,69733,0,306052,0,0,0,9,0
No symbiont,11,0,host,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
No symbiont,11,5000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.99291e+06,0,406,185,406,10,0,0,0
No symbiont,11,10000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.26312e+06,293,206,100,201,11,0,0,0
No symbiont,11,15000,host,0,0,0,NA,NA,NA,NA,NA,NA,977310,847,120,71,131,10,0,0,0
No symbiont,11,20000,host,0,0,0,NA,NA,NA,NA,NA,NA,840859,771,110,81,117,19,0,0,0
