rep, VT_rate, alpha_diversity, shannon_diversity, species_richness, partner
10, 0.0, 2241.07, 0.604752, 11, host
10, 0.0, 2336.55, 0.587542, 12, symbiont
11, 0.0, 2217.26, 0.613214, 14, host
11, 0.0, 2002.28, 0.589985, 12, symbiont
12, 0.0, 2064.95, 0.606468, 10, host
12, 0.0, 2138.2, 0.599823, 11, symbiont
13, 0.0, 2439.64, 0.612114, 11, host
13, 0.0, 2106.61, 0.601909, 11, symbiont
14, 0.0, 1644.22, 0.608669, 13, host
14, 0.0, 3038.33, 0.594199, 10, symbiont
15, 0.0, 1821.36, 0.607839, 10, host
15, 0.0, 1943.41, 0.5936, 12, symbiont
16, 0.0, 2231.83, 0.608933, 12, host
16, 0.0, 2088.29, 0.61023, 12, symbiont
17, 0.0, 1992.07, 0.603646, 12, host
17, 0.0, 2277.29, 0.600921, 11, symbiont
10, 0.2, 2189.91, 0.603401, 13, host
10, 0.2, 1834.24, 0.556148, 10, symbiont
11, 0.2, 2053.33, 0.612708, 14, host
11, 0.2, 1351.18, 0.551796, 9, symbiont
12, 0.2, 2576.49, 0.61256, 10, host
12, 0.2, 1928.4, 0.558583, 8, symbiont
13, 0.2, 2523.25, 0.605786, 12, host
13, 0.2, 3020.95, 0.552561, 12, symbiont
14, 0.2, 3055.67, 0.607427, 10, host
14, 0.2, 3016.2, 0.561769, 14, symbiont
15, 0.2, 2009.9, 0.607528, 12, host
15, 0.2, 1841.85, 0.563393, 10, symbiont
16, 0.2, 2516.74, 0.604994, 11, host
16, 0.2, 2352.35, 0.565519, 10, symbiont
17, 0.2, 2827.76, 0.605085, 9, host
17, 0.2, 2449.89, 0.560664, 11, symbiont
10, 0.4, 1736.27, 0.622425, 10, host
10, 0.4, 2339.66, 0.529962, 10, symbiont
11, 0.4, 2521.15, 0.607668, 12, host
11, 0.4, 1126.39, 0.534726, 11, symbiont
12, 0.4, 2301.25, 0.615791, 11, host
12, 0.4, 1501.07, 0.522035, 10, symbiont
13, 0.4, 2462.11, 0.602192, 13, host
13, 0.4, 1618.83, 0.529921, 9, symbiont
14, 0.4, 2378.11, 0.608202, 10, host
14, 0.4, 1484.04, 0.527705, 11, symbiont
15, 0.4, 2282.07, 0.609065, 11, host
15, 0.4, 1221.97, 0.521549, 12, symbiont
16, 0.4, 2037.77, 0.609118, 10, host
16, 0.4, 1746.98, 0.543215, 10, symbiont
17, 0.4, 2563.76, 0.603634, 11, host
17, 0.4, 1971.7, 0.529506, 12, symbiont
10, 0.6, 2537.58, 0.62661, 14, host
10, 0.6, 1640.05, 0.485824, 8, symbiont
11, 0.6, 2197.43, 0.620731, 11, host
11, 0.6, 1745.28, 0.486941, 11, symbiont
12, 0.6, 1889.49, 0.621516, 10, host
12, 0.6, 2068.63, 0.488319, 9, symbiont
13, 0.6, 2192.21, 0.609901, 12, host
13, 0.6, 1819.57, 0.470949, 10, symbiont
14, 0.6, 2278.39, 0.599188, 10, host
14, 0.6, 1247.21, 0.48058, 7, symbiont
15, 0.6, 2164.69, 0.607578, 14, host
15, 0.6, 1774.3, 0.476358, 11, symbiont
16, 0.6, 2708.15, 0.604301, 12, host
16, 0.6, 1961.7, 0.484957, 11, symbiont
17, 0.6, 2637.94, 0.611541, 13, host
17, 0.6, 2093.78, 0.479108, 11, symbiont
10, 0.8, 2231.08, 0.607037, 10, host
10, 0.8, 1462.01, 0.444427, 12, symbiont
11, 0.8, 1864.45, 0.604128, 11, host
11, 0.8, 1022.44, 0.432817, 8, symbiont
12, 0.8, 2404.61, 0.616342, 13, host
12, 0.8, 1160.06, 0.437127, 10, symbiont
13, 0.8, 2313.72, 0.613531, 12, host
13, 0.8, 1735.18, 0.425187, 11, symbiont
14, 0.8, 2552.14, 0.613461, 9, host
14, 0.8, 884.992, 0.426667, 9, symbiont
15, 0.8, 2232.11, 0.605678, 13, host
15, 0.8, 1379.99, 0.43833, 10, symbiont
16, 0.8, 2193.59, 0.615365, 10, host
16, 0.8, 1353.68, 0.449466, 7, symbiont
17, 0.8, 1890.25, 0.608566, 10, host
17, 0.8, 1641.66, 0.42937, 10, symbiont
10, 1.0, 2807.85, 0.621484, 11, host
10, 1.0, 1012.95, 0.360227, 8, symbiont
11, 1.0, 2664.98, 0.621315, 11, host
11, 1.0, 1550.01, 0.363522, 9, symbiont
12, 1.0, 2299.31, 0.614099, 12, host
12, 1.0, 1295.76, 0.366828, 10, symbiont
13, 1.0, 2480.86, 0.601644, 15, host
13, 1.0, 1496.92, 0.380945, 10, symbiont
14, 1.0, 2822.21, 0.603598, 10, host
14, 1.0, 950.386, 0.375243, 11, symbiont
15, 1.0, 2172.08, 0.609667, 11, host
15, 1.0, 1512.89, 0.361078, 8, symbiont
16, 1.0, 3249.45, 0.604023, 11, host
16, 1.0, 1830.26, 0.383591, 7, symbiont
17, 1.0, 2801.54, 0.623561, 10, host
17, 1.0, 1761.94, 0.38257, 11, symbiont
