inflow,rep,update,partner,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
100,10,0,host,0,0,0,0,0,0,0,0,0
100,10,0,symbiont,0,0,0,0,0,0,0,0,0
100,10,1000,host,22114,15,4,4,0,0,0,0,0
100,10,1000,symbiont,0,0,0,0,0,0,0,0,0
100,10,2000,host,20000,9,3,4,1,0,1,0,0
100,10,2000,symbiont,0,0,0,0,0,0,0,0,0
100,10,3000,host,20056,5,3,3,2,0,0,0,0
100,10,3000,symbiont,0,0,0,0,0,0,0,0,0
100,10,4000,host,19993,12,0,3,7,0,0,0,0
100,10,4000,symbiont,0,0,0,0,0,0,0,0,0
100,10,5000,host,19963,12,3,2,5,4,0,0,0
100,10,5000,symbiont,0,0,0,0,0,0,0,0,0
100,10,6000,host,19947,13,0,10,5,0,1,0,0
100,10,6000,symbiont,0,0,0,0,0,0,0,0,0
100,10,7000,host,19982,11,1,3,9,0,0,0,0
100,10,7000,symbiont,0,0,0,0,0,0,0,0,0
100,10,8000,host,19971,17,1,3,3,2,1,0,0
100,10,8000,symbiont,0,0,0,0,0,0,0,0,0
100,10,9000,host,20044,12,0,6,2,0,0,0,0
100,10,9000,symbiont,0,0,0,0,0,0,0,0,0
100,10,10000,host,19976,9,1,10,2,2,0,0,0
100,10,10000,symbiont,0,0,0,0,0,0,0,0,0
100,10,11000,host,20009,6,3,4,1,1,1,0,0
100,10,11000,symbiont,0,0,0,0,0,0,0,0,0
100,10,12000,host,19910,5,1,8,5,3,2,0,0
100,10,12000,symbiont,0,0,0,0,0,0,0,0,0
100,10,13000,host,19984,15,2,4,5,0,1,0,0
100,10,13000,symbiont,0,0,0,0,0,0,0,0,0
100,10,14000,host,19940,10,4,5,3,1,3,0,0
100,10,14000,symbiont,0,0,0,0,0,0,0,0,0
100,10,15000,host,19979,11,3,5,3,0,1,0,0
100,10,15000,symbiont,0,0,0,0,0,0,0,0,0
100,10,16000,host,19863,11,3,10,8,0,1,0,0
100,10,16000,symbiont,0,0,0,0,0,0,0,0,0
100,10,17000,host,19903,5,3,10,1,3,4,0,0
100,10,17000,symbiont,0,0,0,0,0,0,0,0,0
100,10,18000,host,19885,14,1,10,2,4,3,0,0
100,10,18000,symbiont,0,0,0,0,0,0,0,0,0
100,10,19000,host,19908,10,2,7,3,0,4,0,0
100,10,19000,symbiont,0,0,0,0,0,0,0,0,0
100,10,20000,host,19970,13,4,4,2,1,2,0,0
100,10,20000,symbiont,0,0,0,0,0,0,0,0,0
100,10,21000,host,19907,15,1,5,8,0,2,0,0
100,10,21000,symbiont,0,0,0,0,0,0,0,0,0
100,10,22000,host,19885,7,2,12,2,3,3,0,0
100,10,22000,symbiont,0,0,0,0,0,0,0,0,0
100,10,23000,host,19880,15,2,3,6,1,5,0,0
100,10,23000,symbiont,0,0,0,0,0,0,0,0,0
100,10,24000,host,19922,9,4,7,5,1,1,0,0
100,10,24000,symbiont,0,0,0,0,0,0,0,0,0
100,10,25000,host,19790,8,4,10,8,6,4,0,0
100,10,25000,symbiont,0,0,0,0,0,0,0,0,0
100,10,26000,host,19883,7,5,7,3,3,2,0,0
100,10,26000,symbiont,0,0,0,0,0,0,0,0,0
100,10,27000,host,19868,14,1,11,8,2,1,0,0
100,10,27000,symbiont,0,0,0,0,0,0,0,0,0
100,10,28000,host,19821,13,3,14,5,3,3,0,0
100,10,28000,symbiont,0,0,0,0,0,0,0,0,0
100,10,29000,host,19959,6,2,0,3,3,2,0,0
100,10,29000,symbiont,0,0,0,0,0,0,0,0,0
100,10,30000,host,19890,13,2,6,2,1,6,0,0
100,10,30000,symbiont,0,0,0,0,0,0,0,0,0
100,10,31000,host,19919,14,3,3,4,1,3,0,0
100,10,31000,symbiont,0,0,0,0,0,0,0,0,0
100,10,32000,host,20003,8,3,1,4,1,1,0,0
100,10,32000,symbiont,0,0,0,0,0,0,0,0,0
100,10,33000,host,19807,13,4,11,5,6,2,0,0
100,10,33000,symbiont,0,0,0,0,0,0,0,0,0
100,10,34000,host,19842,20,4,7,4,5,1,0,0
100,10,34000,symbiont,0,0,0,0,0,0,0,0,0
100,10,35000,host,19973,13,1,5,4,0,1,0,0
100,10,35000,symbiont,0,0,0,0,0,0,0,0,0
100,10,36000,host,19811,12,5,10,8,4,2,0,0
100,10,36000,symbiont,0,0,0,0,0,0,0,0,0
100,10,37000,host,19932,11,2,8,3,3,1,0,0
100,10,37000,symbiont,0,0,0,0,0,0,0,0,0
100,10,38000,host,19860,12,6,9,5,2,1,0,0
100,10,38000,symbiont,0,0,0,0,0,0,0,0,0
100,10,39000,host,19807,15,2,3,10,6,1,0,0
100,10,39000,symbiont,0,0,0,0,0,0,0,0,0
100,10,40000,host,19902,13,1,8,6,1,3,0,0
100,10,40000,symbiont,0,0,0,0,0,0,0,0,0
100,10,41000,host,19873,17,1,14,6,0,3,0,0
100,10,41000,symbiont,0,0,0,0,0,0,0,0,0
100,10,42000,host,19882,10,2,8,9,3,2,0,0
100,10,42000,symbiont,0,0,0,0,0,0,0,0,0
100,10,43000,host,19815,11,4,8,7,3,4,0,0
100,10,43000,symbiont,0,0,0,0,0,0,0,0,0
100,10,44000,host,19855,17,3,10,3,3,2,0,0
100,10,44000,symbiont,0,0,0,0,0,0,0,0,0
100,10,45000,host,19834,10,4,4,7,4,2,0,0
100,10,45000,symbiont,0,0,0,0,0,0,0,0,0
100,10,46000,host,19840,15,2,6,6,6,2,0,0
100,10,46000,symbiont,0,0,0,0,0,0,0,0,0
100,10,47000,host,19908,12,2,10,3,1,2,0,0
100,10,47000,symbiont,0,0,0,0,0,0,0,0,0
100,10,48000,host,19837,14,2,10,4,3,3,0,0
100,10,48000,symbiont,0,0,0,0,0,0,0,0,0
100,10,49000,host,19776,15,5,14,12,0,2,0,0
100,10,49000,symbiont,0,0,0,0,0,0,0,0,0
100,10,50000,host,19844,16,2,10,10,1,1,0,0
100,10,50000,symbiont,0,0,0,0,0,0,0,0,0
100,11,0,host,0,0,0,0,0,0,0,0,0
100,11,0,symbiont,0,0,0,0,0,0,0,0,0
100,11,1000,host,22009,13,2,7,3,2,0,0,0
100,11,1000,symbiont,0,0,0,0,0,0,0,0,0
100,11,2000,host,20013,13,4,5,2,0,0,0,0
100,11,2000,symbiont,0,0,0,0,0,0,0,0,0
100,11,3000,host,20035,8,1,5,2,1,2,0,0
100,11,3000,symbiont,0,0,0,0,0,0,0,0,0
100,11,4000,host,20035,9,3,4,2,0,0,0,0
100,11,4000,symbiont,0,0,0,0,0,0,0,0,0
100,11,5000,host,20005,11,1,1,4,0,1,0,0
100,11,5000,symbiont,0,0,0,0,0,0,0,0,0
100,11,6000,host,19980,9,1,8,1,1,1,0,0
100,11,6000,symbiont,0,0,0,0,0,0,0,0,0
100,11,7000,host,19933,9,5,4,5,0,1,0,0
100,11,7000,symbiont,0,0,0,0,0,0,0,0,0
100,11,8000,host,19806,108,2,11,5,0,1,0,0
100,11,8000,symbiont,0,0,0,0,0,0,0,0,0
100,11,9000,host,19807,117,3,8,3,2,0,0,0
100,11,9000,symbiont,0,0,0,0,0,0,0,0,0
100,11,10000,host,19759,130,0,8,6,1,3,0,0
100,11,10000,symbiont,0,0,0,0,0,0,0,0,0
100,11,11000,host,19753,118,2,6,4,3,6,0,0
100,11,11000,symbiont,0,0,0,0,0,0,0,0,0
100,11,12000,host,19772,119,1,7,3,0,6,0,0
100,11,12000,symbiont,0,0,0,0,0,0,0,0,0
100,11,13000,host,19820,114,3,6,3,5,1,0,0
100,11,13000,symbiont,0,0,0,0,0,0,0,0,0
100,11,14000,host,19802,117,4,6,3,4,1,0,0
100,11,14000,symbiont,0,0,0,0,0,0,0,0,0
100,11,15000,host,19812,124,3,4,3,0,3,0,0
100,11,15000,symbiont,0,0,0,0,0,0,0,0,0
100,11,16000,host,19803,120,1,6,4,2,3,0,0
100,11,16000,symbiont,0,0,0,0,0,0,0,0,0
100,11,17000,host,19764,138,3,8,2,3,2,0,0
100,11,17000,symbiont,0,0,0,0,0,0,0,0,0
100,11,18000,host,19829,125,0,2,6,2,0,0,0
100,11,18000,symbiont,0,0,0,0,0,0,0,0,0
100,11,19000,host,19790,119,4,8,2,0,4,0,0
100,11,19000,symbiont,0,0,0,0,0,0,0,0,0
100,11,20000,host,19792,128,1,5,0,2,5,0,0
100,11,20000,symbiont,0,0,0,0,0,0,0,0,0
100,11,21000,host,19735,113,1,8,8,1,4,0,0
100,11,21000,symbiont,0,0,0,0,0,0,0,0,0
100,11,22000,host,19873,122,2,5,1,0,2,0,0
100,11,22000,symbiont,0,0,0,0,0,0,0,0,0
100,11,23000,host,19829,115,3,4,7,1,0,0,0
100,11,23000,symbiont,0,0,0,0,0,0,0,0,0
100,11,24000,host,19797,124,4,7,1,2,2,0,0
100,11,24000,symbiont,0,0,0,0,0,0,0,0,0
100,11,25000,host,19830,112,1,9,3,1,1,0,0
100,11,25000,symbiont,0,0,0,0,0,0,0,0,0
100,11,26000,host,19765,126,1,8,6,0,2,0,0
100,11,26000,symbiont,0,0,0,0,0,0,0,0,0
100,11,27000,host,19756,117,3,8,3,4,1,0,0
100,11,27000,symbiont,0,0,0,0,0,0,0,0,0
100,11,28000,host,19754,127,1,6,3,1,6,0,0
100,11,28000,symbiont,0,0,0,0,0,0,0,0,0
100,11,29000,host,19855,109,1,4,2,0,2,0,0
100,11,29000,symbiont,0,0,0,0,0,0,0,0,0
100,11,30000,host,19850,129,6,2,2,4,0,0,0
100,11,30000,symbiont,0,0,0,0,0,0,0,0,0
100,11,31000,host,19821,122,4,5,2,2,1,0,0
100,11,31000,symbiont,0,0,0,0,0,0,0,0,0
100,11,32000,host,19770,122,1,6,5,2,3,0,0
100,11,32000,symbiont,0,0,0,0,0,0,0,0,0
100,11,33000,host,19796,123,4,4,4,2,3,0,0
100,11,33000,symbiont,0,0,0,0,0,0,0,0,0
100,11,34000,host,19712,122,2,8,6,8,2,0,0
100,11,34000,symbiont,0,0,0,0,0,0,0,0,0
100,11,35000,host,19730,119,4,8,8,3,1,0,0
100,11,35000,symbiont,0,0,0,0,0,0,0,0,0
100,11,36000,host,19795,127,0,6,2,1,5,0,0
100,11,36000,symbiont,0,0,0,0,0,0,0,0,0
100,11,37000,host,19737,134,4,3,5,5,2,0,0
100,11,37000,symbiont,0,0,0,0,0,0,0,0,0
100,11,38000,host,19744,124,5,7,6,0,4,0,0
100,11,38000,symbiont,0,0,0,0,0,0,0,0,0
100,11,39000,host,19769,120,4,9,2,3,1,0,0
100,11,39000,symbiont,0,0,0,0,0,0,0,0,0
100,11,40000,host,19690,126,4,12,8,2,1,1,0
100,11,40000,symbiont,0,0,0,0,0,0,0,0,0
100,11,41000,host,19742,129,3,9,4,3,4,0,0
100,11,41000,symbiont,0,0,0,0,0,0,0,0,0
100,11,42000,host,19798,133,1,6,6,3,0,0,0
100,11,42000,symbiont,0,0,0,0,0,0,0,0,0
100,11,43000,host,19770,121,1,7,3,2,5,0,0
100,11,43000,symbiont,0,0,0,0,0,0,0,0,0
100,11,44000,host,19725,126,3,6,6,2,4,0,0
100,11,44000,symbiont,0,0,0,0,0,0,0,0,0
100,11,45000,host,19649,117,0,10,5,10,2,0,0
100,11,45000,symbiont,0,0,0,0,0,0,0,0,0
100,11,46000,host,19728,129,3,5,5,3,3,0,0
100,11,46000,symbiont,0,0,0,0,0,0,0,0,0
100,11,47000,host,19764,115,1,9,4,5,1,0,0
100,11,47000,symbiont,0,0,0,0,0,0,0,0,0
