partner vertical_transmission update squareNum completions
Host 0.2 20000 4 107355005
Host 0.2 20000 9 7263
Host 0.2 20000 16 64398
Host 0.2 20000 25 508
Host 0.2 20000 36 8592
Host 0.2 20000 49 478
Host 0.2 20000 64 13561
Host 0.2 20000 81 139
Host 0.2 20000 100 187
Host 0.2 20000 121 125
Host 0.2 20000 144 170
Host 0.2 20000 169 84
Host 0.2 20000 196 899
Host 0.2 20000 225 64
Host 0.2 20000 256 2834
Host 0.2 20000 289 52
Host 0.2 20000 324 129
Host 0.2 20000 400 68
Host 0.2 20000 484 345
Host 0.2 20000 576 49
Host 0.2 20000 676 16
Host 0.2 20000 784 17
Host 0.2 20000 900 111
Host 0.2 20000 1024 1052
Host 0.2 20000 1296 8
Host 0.2 20000 4096 987
Host 0.2 20000 16384 1272
Host 0.2 20000 65536 500
Host 0.2 20000 131044 2
Host 0.2 20000 262144 252
Host 0.2 20000 1048576 115
Host 0.2 20000 4194304 177
Host 0.2 20000 16777216 242
Host 0.2 20000 67108864 386
Host 0.2 20000 268435456 3496
Host 0.2 20000 1071645696 1
Host 0.2 20000 1073676289 37
Host 0.2 20000 1073741824 29743
Host 0.2 20000 4294705156 105
Host 0.2 20000 4294836225 505
Host 0.2 20000 361 17
Host 0.2 20000 441 16
Host 0.2 20000 529 20
Host 0.2 20000 625 10
Host 0.2 20000 729 10
Host 0.2 20000 841 8
Host 0.2 20000 961 4
Host 0.2 20000 1089 5
Host 0.2 20000 1600 5
Host 0.2 20000 1936 3
Host 0.2 20000 2304 4
Host 0.2 20000 2704 3
Host 0.2 20000 3136 3
Host 0.2 20000 3600 3
Host 0.2 20000 3721 3
Host 0.2 20000 4624 3
Host 0.2 20000 15625 3
Host 0.2 20000 64009 3
Host 0.2 20000 259081 3
Host 0.2 20000 1042441 3
Host 0.2 20000 4182025 3
Host 0.2 20000 16752649 3
Host 0.2 20000 67059721 4
Host 0.2 20000 268337161 4
Host 0.2 20000 1073545225 6
Host 0.2 20000 4294574089 8
Host 0.2 20000 1156 9
Host 0.2 20000 32761 25
Host 0.2 20000 33124 2
Host 0.2 20000 1225 3
Host 0.2 20000 1677721600 2
Host 0.2 20000 2235020176 1
Host 0.2 20000 4106118241 1
Host 0.2 20000 8281 1
Host 0.2 20000 2916 1
Host 0.2 20000 5184 2
Host 0.2 20000 236196 1
Host 0.2 20000 2125764 1
Host 0.2 20000 19131876 1
Host 0.2 20000 943718400 3
Host 0.2 20000 1073807361 4
Host 0.2 20000 2415919104 9
Host 0.2 20000 6230016 1
Host 0.2 20000 2025 1
Host 0.2 20000 1369 1
Host 0.2 20000 1521 1
Host 0.2 20000 41616 1
Host 0.2 20000 135424 1
Host 0.2 20000 603979776 2
Host 0.2 20000 859193344 1
Host 0.2 20000 1444 1
Host 0.2 20000 8100 1
Host 0.2 20000 268402689 7
Host 0.2 20000 1073610756 1
Host 0.2 20000 3969 1
Host 0.2 20000 65025 1
Host 0.2 20000 1046529 1
Host 0.2 20000 16769025 1
Host 0.2 40000 4 5597540
Host 0.2 40000 9 29269
Host 0.2 40000 16 96436
Host 0.2 40000 25 3807
Host 0.2 40000 36 7070
Host 0.2 40000 49 2105
Host 0.2 40000 64 30851
Host 0.2 40000 81 1043
Host 0.2 40000 100 853
Host 0.2 40000 121 639
Host 0.2 40000 144 867
Host 0.2 40000 169 431
Host 0.2 40000 196 1492
Host 0.2 40000 225 358
Host 0.2 40000 256 12065
Host 0.2 40000 289 253
Host 0.2 40000 324 329
Host 0.2 40000 361 232
Host 0.2 40000 400 254
Host 0.2 40000 441 181
Host 0.2 40000 484 831
Host 0.2 40000 529 142
Host 0.2 40000 576 179
Host 0.2 40000 625 109
Host 0.2 40000 676 157
Host 0.2 40000 729 146
Host 0.2 40000 784 139
Host 0.2 40000 841 75
Host 0.2 40000 900 144
Host 0.2 40000 961 65
Host 0.2 40000 1024 7354
Host 0.2 40000 1089 56
Host 0.2 40000 1156 75
Host 0.2 40000 1225 48
Host 0.2 40000 1296 70
Host 0.2 40000 1444 56
Host 0.2 40000 1600 52
Host 0.2 40000 1849 26
Host 0.2 40000 1936 31
Host 0.2 40000 2025 17
