vert,rep,update,partner,donate_calls,donated,earned,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,10,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,10,5000,host,0,0,0,2.60427e+06,1840,748,713,772,142,111,0,0
No symbiont,10,10000,host,0,0,0,2.50322e+06,4636,558,680,610,230,158,0,0
No symbiont,10,15000,host,0,0,0,2.16071e+06,5312,500,818,600,282,206,0,0
No symbiont,10,20000,host,0,0,0,1.80608e+06,6649,375,825,554,263,262,0,0
No symbiont,10,25000,host,0,0,0,1.61651e+06,10624,361,898,586,286,276,1,0
No symbiont,10,30000,host,0,0,0,1.49963e+06,13596,347,948,627,317,293,1,0
No symbiont,10,35000,host,0,0,0,1.42897e+06,16294,432,1018,681,330,322,1,0
No symbiont,10,40000,host,0,0,0,1.35621e+06,20995,494,1132,814,403,330,0,0
No symbiont,10,45000,host,0,0,0,1.31497e+06,19098,558,1153,956,486,418,1,1
No symbiont,10,50000,host,0,0,0,1.28181e+06,20187,921,1297,967,520,413,6,0
No symbiont,10,55000,host,0,0,0,1.2194e+06,21248,1154,1289,1093,577,447,5,0
No symbiont,10,60000,host,0,0,0,1.19862e+06,20392,856,1365,1214,622,492,7,0
No symbiont,10,65000,host,0,0,0,1.20014e+06,22563,855,1533,1309,651,561,6,1
No symbiont,10,70000,host,0,0,0,1.16271e+06,30721,1006,1883,1371,817,553,7,0
No symbiont,10,75000,host,0,0,0,1.16781e+06,32322,935,1951,1540,807,577,12,0
No symbiont,10,80000,host,0,0,0,1.14914e+06,36348,2190,1891,1676,849,580,16,2
No symbiont,10,85000,host,0,0,0,1.13844e+06,32281,2238,2511,1756,847,647,10,1
No symbiont,10,90000,host,0,0,0,1.12153e+06,33337,2235,2619,1806,994,588,13,0
No symbiont,10,95000,host,0,0,0,1.13511e+06,34519,1881,2129,2054,1089,704,11,4
No symbiont,10,100000,host,0,0,0,1.12619e+06,44518,1544,2273,2225,1174,752,18,2
No symbiont,10,105000,host,0,0,0,1.11019e+06,49650,1608,2258,2195,1134,750,17,5
No symbiont,10,110000,host,0,0,0,1.08042e+06,51156,1580,3190,2230,1217,755,21,1
No symbiont,10,115000,host,0,0,0,1.06626e+06,49232,1682,3581,2354,1293,780,29,1
No symbiont,10,120000,host,0,0,0,1.06554e+06,49841,2024,3994,2490,1347,779,18,0
No symbiont,10,125000,host,0,0,0,1.07031e+06,56867,2917,5016,2594,1446,786,22,1
No symbiont,10,130000,host,0,0,0,1.05737e+06,64318,3727,6024,2708,1515,805,34,4
No symbiont,10,135000,host,0,0,0,1.02048e+06,71495,3384,6888,2809,1498,882,34,2
No symbiont,10,140000,host,0,0,0,1.02362e+06,78118,2269,9197,3349,1487,870,40,1
No symbiont,10,145000,host,0,0,0,1.03118e+06,83631,2022,11871,3745,1590,816,50,6
No symbiont,10,150000,host,0,0,0,1.06648e+06,81835,2308,15101,3938,1770,992,34,0
No symbiont,10,155000,host,0,0,0,1.06698e+06,89863,2285,12722,3274,1832,960,42,3
No symbiont,10,160000,host,0,0,0,1.08853e+06,84351,3950,13362,3293,1908,984,39,1
No symbiont,10,165000,host,0,0,0,1.07264e+06,101886,21794,14043,3498,1940,1070,47,4
No symbiont,10,170000,host,0,0,0,1.008e+06,135355,34150,118372,3594,2170,888,54,5
No symbiont,10,175000,host,0,0,0,671718,129837,8411,1.23909e+06,6262,1236,424,52,11
No symbiont,10,180000,host,0,0,0,588778,144658,5216,1.50257e+06,6692,1264,323,76,13
No symbiont,10,185000,host,0,0,0,645607,139160,6142,1.56881e+06,5376,1519,418,72,18
No symbiont,10,190000,host,0,0,0,420910,102308,4085,825047,3290,1043,329,57,17
No symbiont,10,195000,host,0,0,0,157326,40804,746,284844,1104,515,130,22,8
