vert,ht_res,vt_res,rep,update,partner,donate_calls,donated,earned,steal_calls,stolen,mutualism,attempts_horiz,success_horiz,attempts_vert,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,100,50,10,0,host,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
No symbiont,100,50,10,5000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.99258e+06,0,402,169,406,14,0,0,0
No symbiont,100,50,10,10000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.23137e+06,492,238,118,210,19,1,0,0
No symbiont,100,50,10,15000,host,0,0,0,NA,NA,NA,NA,NA,NA,967313,408,124,69,118,16,0,0,0
No symbiont,100,50,10,20000,host,0,0,0,NA,NA,NA,NA,NA,NA,823977,429,94,61,100,22,0,0,0
No symbiont,100,50,10,25000,host,0,0,0,NA,NA,NA,NA,NA,NA,751924,1248,66,41,82,10,0,0,0
No symbiont,100,50,10,30000,host,0,0,0,NA,NA,NA,NA,NA,NA,711815,2460,69,52,75,16,0,1,0
No symbiont,100,50,10,35000,host,0,0,0,NA,NA,NA,NA,NA,NA,665728,2960,46,54,80,16,0,0,0
No symbiont,100,50,10,40000,host,0,0,0,NA,NA,NA,NA,NA,NA,632497,2910,64,49,76,17,2,1,0
No symbiont,100,50,10,45000,host,0,0,0,NA,NA,NA,NA,NA,NA,619319,3225,54,66,71,14,4,0,0
No symbiont,100,50,10,50000,host,0,0,0,NA,NA,NA,NA,NA,NA,620745,3569,65,96,76,10,3,1,0
No symbiont,100,50,10,55000,host,0,0,0,NA,NA,NA,NA,NA,NA,624295,6095,51,93,80,16,3,1,0
No symbiont,100,50,10,60000,host,0,0,0,NA,NA,NA,NA,NA,NA,625998,9164,53,153,90,9,2,1,0
No symbiont,100,50,10,65000,host,0,0,0,NA,NA,NA,NA,NA,NA,638499,12899,55,305,80,19,0,0,0
No symbiont,100,50,10,70000,host,0,0,0,NA,NA,NA,NA,NA,NA,673551,12094,101,281,105,25,4,2,0
No symbiont,100,50,10,75000,host,0,0,0,NA,NA,NA,NA,NA,NA,671707,14375,94,86,135,22,5,0,0
No symbiont,100,50,10,80000,host,0,0,0,NA,NA,NA,NA,NA,NA,660389,13831,107,89,131,34,5,0,0
No symbiont,100,50,10,85000,host,0,0,0,NA,NA,NA,NA,NA,NA,667293,10031,93,99,154,30,7,0,0
No symbiont,100,50,10,90000,host,0,0,0,NA,NA,NA,NA,NA,NA,675376,8998,97,117,131,37,7,0,0
No symbiont,100,50,10,95000,host,0,0,0,NA,NA,NA,NA,NA,NA,693597,10726,120,141,158,30,12,0,0
No symbiont,100,50,10,100000,host,0,0,0,NA,NA,NA,NA,NA,NA,714982,13639,115,145,166,50,12,0,1
No symbiont,100,50,10,105000,host,0,0,0,NA,NA,NA,NA,NA,NA,721897,12342,155,145,178,52,23,0,0
No symbiont,100,50,10,110000,host,0,0,0,NA,NA,NA,NA,NA,NA,749040,13903,157,202,216,45,23,0,0
No symbiont,100,50,10,115000,host,0,0,0,NA,NA,NA,NA,NA,NA,764007,15882,186,188,213,65,17,0,0
No symbiont,100,50,10,120000,host,0,0,0,NA,NA,NA,NA,NA,NA,774339,16513,184,210,238,60,24,0,0
No symbiont,100,50,10,125000,host,0,0,0,NA,NA,NA,NA,NA,NA,765434,17752,196,229,275,59,27,0,0
No symbiont,100,50,10,130000,host,0,0,0,NA,NA,NA,NA,NA,NA,777455,18420,187,221,241,85,32,0,0
No symbiont,100,50,10,135000,host,0,0,0,NA,NA,NA,NA,NA,NA,773595,18436,202,351,293,87,22,1,0
No symbiont,100,50,10,140000,host,0,0,0,NA,NA,NA,NA,NA,NA,801035,20489,229,297,274,66,28,0,0
No symbiont,100,50,10,145000,host,0,0,0,NA,NA,NA,NA,NA,NA,807392,21735,267,347,359,102,23,1,0
No symbiont,100,50,10,150000,host,0,0,0,NA,NA,NA,NA,NA,NA,822229,23879,269,386,366,95,25,0,0
No symbiont,100,50,10,155000,host,0,0,0,NA,NA,NA,NA,NA,NA,814154,30499,369,507,367,103,34,0,0
No symbiont,100,50,10,160000,host,0,0,0,NA,NA,NA,NA,NA,NA,808287,33292,587,1327,335,115,13,1,0
No symbiont,100,50,10,165000,host,0,0,0,NA,NA,NA,NA,NA,NA,830343,30090,634,378,411,113,30,0,0
No symbiont,100,50,10,170000,host,0,0,0,NA,NA,NA,NA,NA,NA,843728,28361,712,390,418,135,32,1,0
No symbiont,100,50,10,175000,host,0,0,0,NA,NA,NA,NA,NA,NA,855367,24743,653,347,455,151,28,0,0
No symbiont,100,50,10,180000,host,0,0,0,NA,NA,NA,NA,NA,NA,854767,27122,677,583,429,111,26,0,0
No symbiont,100,50,10,185000,host,0,0,0,NA,NA,NA,NA,NA,NA,868214,33507,1206,362,459,122,27,0,0
No symbiont,100,50,10,190000,host,0,0,0,NA,NA,NA,NA,NA,NA,868781,39138,1304,386,481,122,36,0,0
No symbiont,100,50,10,195000,host,0,0,0,NA,NA,NA,NA,NA,NA,867226,45741,1028,554,490,144,41,0,0
No symbiont,100,50,10,200000,host,0,0,0,NA,NA,NA,NA,NA,NA,866390,51109,938,1120,451,165,39,0,0
No symbiont,100,50,10,205000,host,0,0,0,NA,NA,NA,NA,NA,NA,844144,60809,948,1374,509,125,38,1,0
No symbiont,100,50,10,210000,host,0,0,0,NA,NA,NA,NA,NA,NA,840874,65908,849,1131,495,166,38,3,0
No symbiont,100,50,10,215000,host,0,0,0,NA,NA,NA,NA,NA,NA,850607,62936,398,1051,489,154,37,3,0
No symbiont,100,50,10,220000,host,0,0,0,NA,NA,NA,NA,NA,NA,834693,61478,379,1184,511,163,43,2,0
No symbiont,100,50,10,225000,host,0,0,0,NA,NA,NA,NA,NA,NA,841138,69699,391,1207,514,169,51,1,0
No symbiont,100,50,10,230000,host,0,0,0,NA,NA,NA,NA,NA,NA,850526,71119,425,2493,571,176,31,6,0
No symbiont,100,50,10,235000,host,0,0,0,NA,NA,NA,NA,NA,NA,831210,68773,448,1673,515,148,39,1,0
No symbiont,100,50,10,240000,host,0,0,0,NA,NA,NA,NA,NA,NA,825633,66710,469,1918,501,184,37,2,0
No symbiont,100,50,10,245000,host,0,0,0,NA,NA,NA,NA,NA,NA,823863,66581,394,2982,490,170,35,1,0
No symbiont,100,50,10,250000,host,0,0,0,NA,NA,NA,NA,NA,NA,826035,71029,519,2913,504,181,34,5,0
No symbiont,100,50,10,255000,host,0,0,0,NA,NA,NA,NA,NA,NA,828451,71558,578,2462,463,177,56,2,0
No symbiont,100,50,10,260000,host,0,0,0,NA,NA,NA,NA,NA,NA,817927,66903,703,2607,514,166,38,0,0
No symbiont,100,50,10,265000,host,0,0,0,NA,NA,NA,NA,NA,NA,821565,64698,510,1962,495,157,37,2,0
No symbiont,100,50,10,270000,host,0,0,0,NA,NA,NA,NA,NA,NA,837502,66531,718,1431,538,192,48,3,0
No symbiont,100,50,10,275000,host,0,0,0,NA,NA,NA,NA,NA,NA,839020,58708,715,1387,517,179,40,1,0
No symbiont,100,50,10,280000,host,0,0,0,NA,NA,NA,NA,NA,NA,848128,55542,409,1536,524,179,45,3,0
No symbiont,100,50,10,285000,host,0,0,0,NA,NA,NA,NA,NA,NA,856077,54165,561,725,525,177,36,0,0
No symbiont,100,50,10,290000,host,0,0,0,NA,NA,NA,NA,NA,NA,855056,57148,691,819,537,190,44,1,0
No symbiont,100,50,10,295000,host,0,0,0,NA,NA,NA,NA,NA,NA,853488,62762,413,806,561,171,36,0,0
No symbiont,100,50,10,300000,host,0,0,0,NA,NA,NA,NA,NA,NA,846198,59149,422,1070,511,180,36,0,0
No symbiont,100,50,10,305000,host,0,0,0,NA,NA,NA,NA,NA,NA,858118,62755,427,1166,602,198,39,2,0
No symbiont,100,50,10,310000,host,0,0,0,NA,NA,NA,NA,NA,NA,852562,68397,469,1805,566,177,30,4,0
No symbiont,100,50,10,315000,host,0,0,0,NA,NA,NA,NA,NA,NA,833003,75991,468,2745,579,196,48,2,0
No symbiont,100,50,10,320000,host,0,0,0,NA,NA,NA,NA,NA,NA,807640,88540,1258,6110,1489,173,36,0,0
No symbiont,100,50,10,325000,host,0,0,0,NA,NA,NA,NA,NA,NA,799355,93820,837,10068,4649,201,49,2,0
No symbiont,100,50,10,330000,host,0,0,0,NA,NA,NA,NA,NA,NA,786052,103080,1178,15900,12497,175,40,4,0
No symbiont,100,50,10,335000,host,0,0,0,NA,NA,NA,NA,NA,NA,747807,118767,836,27093,17550,176,38,5,0
No symbiont,100,50,10,340000,host,0,0,0,NA,NA,NA,NA,NA,NA,702391,123465,3502,37041,17556,181,37,3,1
