vres,rep,update,partner,donate_calls,donated,earned,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,10,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,10,5000,host,0,0,0,2.47768e+06,1749,735,699,777,127,109,0,0
No symbiont,10,10000,host,0,0,0,2.47057e+06,4068,589,658,578,229,165,1,0
No symbiont,10,15000,host,0,0,0,2.1783e+06,6522,479,795,625,231,212,0,0
No symbiont,10,20000,host,0,0,0,1.81785e+06,7694,354,753,475,220,188,0,0
No symbiont,10,25000,host,0,0,0,1.63215e+06,9780,395,817,536,262,247,0,0
No symbiont,10,30000,host,0,0,0,1.50327e+06,11865,430,921,611,313,304,1,0
No symbiont,10,35000,host,0,0,0,1.41575e+06,9748,480,1004,671,381,330,1,1
No symbiont,10,40000,host,0,0,0,1.35247e+06,9880,483,986,776,370,341,2,1
No symbiont,10,45000,host,0,0,0,1.33438e+06,12510,543,1113,835,410,371,2,2
No symbiont,10,50000,host,0,0,0,1.29641e+06,12546,590,1197,922,509,379,5,0
No symbiont,10,55000,host,0,0,0,1.25242e+06,15797,683,1330,1085,551,471,1,0
No symbiont,10,60000,host,0,0,0,1.2429e+06,19328,813,1417,1176,575,472,5,0
No symbiont,10,65000,host,0,0,0,1.23595e+06,25398,920,2118,1457,762,549,3,0
No symbiont,10,70000,host,0,0,0,1.21628e+06,25375,1029,2330,1434,757,585,8,0
No symbiont,10,75000,host,0,0,0,1.18369e+06,31173,1066,2469,1666,848,614,12,0
No symbiont,10,80000,host,0,0,0,1.13241e+06,38306,1218,2782,1781,993,661,12,0
No symbiont,10,85000,host,0,0,0,1.1367e+06,40665,1331,2666,1836,944,695,20,0
No symbiont,10,90000,host,0,0,0,1.1435e+06,40281,1277,3257,1920,1032,707,16,2
No symbiont,10,95000,host,0,0,0,1.15447e+06,43054,1433,3254,2120,1044,725,14,1
No symbiont,10,100000,host,0,0,0,1.13506e+06,44655,1578,3877,2179,1155,760,6,0
No symbiont,10,105000,host,0,0,0,1.13413e+06,60623,1649,6154,2292,1274,820,25,1
No symbiont,10,110000,host,0,0,0,1.11026e+06,60111,2112,6764,2374,1373,815,19,0
No symbiont,10,115000,host,0,0,0,1.1067e+06,57789,4915,2600,2532,1386,905,31,1
No symbiont,10,120000,host,0,0,0,1.04976e+06,95869,86537,8037,2636,1419,842,43,3
No symbiont,10,125000,host,0,0,0,533608,518265,2.20371e+06,109247,8215,1174,391,356,17
No symbiont,10,130000,host,0,0,0,106943,179568,921154,82325,935,282,76,145,4
No symbiont,10,135000,host,0,0,0,42848,55612,277963,23111,319,163,68,36,2
No symbiont,10,140000,host,0,0,0,35264,51214,291367,11256,312,157,59,44,4
No symbiont,10,145000,host,0,0,0,19368,43136,302756,3443,208,99,34,38,2
No symbiont,10,150000,host,0,0,0,21337,45101,303637,1881,242,114,47,44,4
No symbiont,10,155000,host,0,0,0,26596,40531,304952,375,275,129,50,47,4
No symbiont,10,160000,host,0,0,0,28526,37224,305112,578,249,116,52,45,4
No symbiont,10,165000,host,0,0,0,28889,41541,304290,450,327,158,48,44,4
No symbiont,10,170000,host,0,0,0,32620,42900,303613,454,362,148,64,53,2
No symbiont,10,175000,host,0,0,0,28463,46326,303812,481,292,146,45,45,4
No symbiont,10,180000,host,0,0,0,32498,47929,302406,939,347,166,37,48,7
No symbiont,10,185000,host,0,0,0,43268,49749,301244,621,303,160,54,51,2
No symbiont,10,190000,host,0,0,0,47629,42458,301381,447,392,188,65,52,7
No symbiont,10,195000,host,0,0,0,39973,47145,301970,460,360,154,64,40,6
No symbiont,10,200000,host,0,0,0,29184,40800,304326,536,296,158,41,45,5
No symbiont,11,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,11,5000,host,0,0,0,2.47935e+06,1106,696,674,714,139,85,0,0
No symbiont,11,10000,host,0,0,0,2.47182e+06,3385,550,677,620,197,125,0,0
No symbiont,11,15000,host,0,0,0,2.20718e+06,6961,520,830,609,252,213,0,0
No symbiont,11,20000,host,0,0,0,1.83036e+06,9621,400,813,548,256,235,0,0
No symbiont,11,25000,host,0,0,0,1.65479e+06,10520,384,807,584,276,262,0,0
No symbiont,11,30000,host,0,0,0,1.53163e+06,12518,376,884,557,258,274,2,0
No symbiont,11,35000,host,0,0,0,1.44849e+06,13415,383,908,654,347,317,2,2
No symbiont,11,40000,host,0,0,0,1.38784e+06,15335,459,1108,789,379,340,0,0
No symbiont,11,45000,host,0,0,0,1.33625e+06,17776,535,1135,911,424,343,0,0
No symbiont,11,50000,host,0,0,0,1.30951e+06,19588,586,1821,973,513,398,3,0
No symbiont,11,55000,host,0,0,0,1.27383e+06,19940,700,1468,1143,586,470,5,1
No symbiont,11,60000,host,0,0,0,1.22136e+06,20199,808,1407,1227,675,494,0,1
No symbiont,11,65000,host,0,0,0,1.17797e+06,22384,894,1627,1378,681,535,5,5
No symbiont,11,70000,host,0,0,0,1.1422e+06,22314,981,1733,1448,745,583,8,4
No symbiont,11,75000,host,0,0,0,1.13918e+06,24251,1024,2247,1564,823,628,10,0
No symbiont,11,80000,host,0,0,0,1.10644e+06,31053,1155,2486,1790,906,685,12,2
No symbiont,11,85000,host,0,0,0,1.10211e+06,37558,1246,3705,1813,1063,685,7,2
No symbiont,11,90000,host,0,0,0,1.10215e+06,39020,1332,3240,2074,1108,687,4,0
No symbiont,11,95000,host,0,0,0,1.08893e+06,40591,1549,2266,2210,1118,703,9,4
No symbiont,11,100000,host,0,0,0,1.07351e+06,41061,1587,2407,2167,1252,812,12,1
No symbiont,11,105000,host,0,0,0,1.06785e+06,43522,1613,4271,2293,1337,855,9,3
No symbiont,11,110000,host,0,0,0,1.07862e+06,45851,1818,6495,2604,1410,935,18,2
No symbiont,11,115000,host,0,0,0,1.08358e+06,51458,1895,6819,2658,1478,965,10,1
No symbiont,11,120000,host,0,0,0,1.06405e+06,59008,2254,7242,2720,1579,921,25,1
No symbiont,11,125000,host,0,0,0,1.07392e+06,60315,2990,8364,2812,1619,960,21,1
No symbiont,11,130000,host,0,0,0,1.06453e+06,76222,8633,7579,2806,1618,908,18,6
No symbiont,11,135000,host,0,0,0,1.02774e+06,94108,12314,7618,3017,1660,949,29,2
No symbiont,11,140000,host,0,0,0,1.0098e+06,105841,14106,6128,2852,1800,962,57,5
No symbiont,11,145000,host,0,0,0,975356,147435,43651,12136,3385,1854,934,61,12
No symbiont,11,150000,host,0,0,0,879565,223883,57575,69159,3522,1871,826,64,13
No symbiont,11,155000,host,0,0,0,560778,395861,103167,695963,4047,1950,774,144,10
No symbiont,11,160000,host,0,0,0,397127,676056,45804,2.78627e+06,14506,1675,102817,312,16
No symbiont,11,165000,host,0,0,0,28919,46196,215,205046,479,132,25402,19,4
No symbiont,11,170000,host,0,0,0,30449,47392,234,233722,417,129,18155,21,5
No symbiont,11,175000,host,0,0,0,59027,58131,369,267157,570,254,8003,30,7
No symbiont,11,180000,host,0,0,0,63647,41192,307,260253,454,200,10366,21,6
No symbiont,11,185000,host,0,0,0,59707,38783,285,256765,415,180,11190,13,3
No symbiont,11,190000,host,0,0,0,82095,35602,325,261001,448,197,9307,9,7
No symbiont,11,195000,host,0,0,0,76956,29447,1009,272477,405,176,6738,9,3
No symbiont,11,200000,host,0,0,0,77880,26459,823,289117,370,177,2651,13,1
No symbiont,12,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,12,5000,host,0,0,0,2.47871e+06,1525,710,638,743,133,109,0,0
No symbiont,12,10000,host,0,0,0,2.47413e+06,1764,511,681,579,214,157,0,0
No symbiont,12,15000,host,0,0,0,2.17648e+06,4726,481,830,634,252,210,1,0
No symbiont,12,20000,host,0,0,0,1.80319e+06,6115,411,830,528,249,223,0,0
No symbiont,12,25000,host,0,0,0,1.59969e+06,6292,782,829,518,246,228,0,0
No symbiont,12,30000,host,0,0,0,1.47226e+06,6651,392,874,555,331,252,0,0
No symbiont,12,35000,host,0,0,0,1.40998e+06,9847,428,1030,685,318,299,1,0
No symbiont,12,40000,host,0,0,0,1.36579e+06,14243,476,1084,751,408,353,4,0
No symbiont,12,45000,host,0,0,0,1.3352e+06,16798,602,1179,893,456,396,2,0
No symbiont,12,50000,host,0,0,0,1.28614e+06,18778,634,1604,964,576,395,3,0
No symbiont,12,55000,host,0,0,0,1.2405e+06,20936,655,1506,1118,587,505,1,0
No symbiont,12,60000,host,0,0,0,1.20458e+06,22548,782,1843,1242,596,519,5,0
No symbiont,12,65000,host,0,0,0,1.15724e+06,21574,824,2422,2078,703,514,2,0
No symbiont,12,70000,host,0,0,0,1.14101e+06,23633,1098,2612,1569,808,554,5,0
No symbiont,12,75000,host,0,0,0,1.10856e+06,25532,1050,2660,1532,743,564,8,0
No symbiont,12,80000,host,0,0,0,1.0945e+06,24444,994,3460,1672,922,648,7,4
No symbiont,12,85000,host,0,0,0,1.07716e+06,24065,1112,3171,1659,910,675,6,1
No symbiont,12,90000,host,0,0,0,1.06209e+06,22158,1145,3261,1736,969,637,9,2
No symbiont,12,95000,host,0,0,0,1.05927e+06,23847,1198,3288,1819,1036,746,10,2
No symbiont,12,100000,host,0,0,0,1.10813e+06,27296,1362,3617,2058,1212,785,9,1
No symbiont,12,105000,host,0,0,0,1.11826e+06,31345,1586,3383,2213,1164,838,10,4
No symbiont,12,110000,host,0,0,0,1.08923e+06,34803,1629,3545,2306,1318,925,14,0
No symbiont,12,115000,host,0,0,0,1.06676e+06,44526,1757,5026,2392,1352,890,11,0
No symbiont,12,120000,host,0,0,0,1.07883e+06,48945,2167,8882,2545,1299,821,17,1
No symbiont,12,125000,host,0,0,0,1.09057e+06,65544,3168,8620,2803,1415,874,21,1
No symbiont,12,130000,host,0,0,0,1.08977e+06,74862,3995,7136,2835,1574,916,26,6
No symbiont,12,135000,host,0,0,0,1.07167e+06,103854,55148,10597,3107,1696,881,32,5
No symbiont,12,140000,host,0,0,0,838522,380481,360625,238654,4062,1724,662,158,11
No symbiont,12,145000,host,0,0,0,653673,564867,1.43086e+06,752477,9859,3284,579,245,17
No symbiont,12,150000,host,0,0,0,80481,103716,708966,533483,897,283,48,40,2
No symbiont,12,155000,host,0,0,0,9042,11048,108610,203670,93,66,10,2,0
No symbiont,12,160000,host,0,0,0,8009,10655,132025,180410,48,26,8,0,0
No symbiont,12,165000,host,0,0,0,14046,32309,27988,280580,176,62,11,11,0
No symbiont,12,170000,host,0,0,0,16131,42973,4805,301987,259,111,14,19,0
No symbiont,12,175000,host,0,0,0,11617,43537,4392,302801,245,122,7,19,0
No symbiont,12,180000,host,0,0,0,4437,27372,3662,306845,190,83,3,12,0
No symbiont,12,185000,host,0,0,0,19109,45440,1656,304097,271,116,17,13,1
No symbiont,12,190000,host,0,0,0,36411,74965,6015,293118,451,193,26,29,0
No symbiont,12,195000,host,0,0,0,12817,18818,43177,267410,165,65,11,10,0
No symbiont,12,200000,host,0,0,0,11462,15970,1372,309989,102,54,10,3,2
No symbiont,13,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,13,5000,host,0,0,0,2.47246e+06,1466,742,691,776,146,123,0,0
No symbiont,13,10000,host,0,0,0,2.46712e+06,3933,598,674,591,210,189,0,0
No symbiont,13,15000,host,0,0,0,2.15417e+06,4628,476,864,598,280,211,0,0
No symbiont,13,20000,host,0,0,0,1.79439e+06,9781,389,775,533,247,190,1,0
No symbiont,13,25000,host,0,0,0,1.63605e+06,16385,7425,836,553,275,248,1,0
No symbiont,13,30000,host,0,0,0,1.48278e+06,16027,8823,889,599,334,298,1,0
No symbiont,13,35000,host,0,0,0,1.44091e+06,15672,8907,1033,767,363,348,2,0
No symbiont,13,40000,host,0,0,0,1.36708e+06,21000,7550,1092,836,447,356,4,0
No symbiont,13,45000,host,0,0,0,1.31342e+06,22067,700,1196,890,442,362,4,1
No symbiont,13,50000,host,0,0,0,1.28252e+06,24653,1345,1338,950,494,393,6,0
No symbiont,13,55000,host,0,0,0,1.24713e+06,20172,1406,1718,1058,500,399,4,0
No symbiont,13,60000,host,0,0,0,1.21768e+06,24751,1424,1578,1073,580,439,7,0
No symbiont,13,65000,host,0,0,0,1.15112e+06,26625,1676,1422,1233,635,461,7,0
No symbiont,13,70000,host,0,0,0,1.15383e+06,32173,1640,1546,1344,690,474,8,0
No symbiont,13,75000,host,0,0,0,1.16644e+06,28113,1643,1611,1507,734,527,12,1
