update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,347653,0,953,0,22,0,96,0,30,0,5,0,2,0,0,0,0,0
2000,345753,0,826,0,32,0,132,0,58,0,8,0,10,0,0,0,0,0
3000,342078,0,742,0,33,0,88,0,49,0,17,0,13,0,0,0,0,0
4000,340076,0,792,0,28,0,102,0,73,0,14,0,20,0,0,0,0,0
5000,340448,0,797,0,41,0,114,0,87,0,32,0,27,0,0,0,0,0
6000,337455,0,1009,0,35,0,115,0,79,0,34,0,32,0,0,0,0,0
7000,334458,0,1148,0,47,0,142,0,96,0,28,0,28,0,0,0,0,0
8000,332761,0,1316,0,78,0,169,0,90,0,38,0,33,0,0,0,0,0
9000,337485,0,1164,0,66,0,138,0,84,0,43,0,34,0,0,0,0,0
10000,337942,0,981,0,66,0,179,0,102,0,49,0,32,0,0,0,0,0
11000,335572,0,1361,0,76,0,191,0,113,0,58,0,56,0,0,0,0,0
12000,332966,0,1696,0,69,0,176,0,109,0,54,0,39,0,0,0,0,0
13000,330754,0,2097,0,82,0,195,0,126,0,53,0,46,0,0,0,0,0
14000,328664,0,2218,0,82,0,205,0,117,0,69,0,59,0,0,0,0,0
15000,328472,0,2345,0,85,0,181,0,130,0,66,0,48,0,0,0,0,0
16000,329106,0,2360,0,93,0,232,0,143,0,68,0,68,0,0,0,0,0
17000,328799,0,2407,0,117,0,207,0,142,0,69,0,78,0,1,0,0,0
18000,327763,0,2559,0,120,0,235,0,172,0,81,0,63,0,0,0,0,0
19000,326368,0,2435,0,129,0,241,0,162,0,99,0,81,0,0,0,0,0
20000,322229,0,2542,0,134,0,226,0,160,0,82,0,78,0,0,0,0,0
21000,316566,0,2677,0,109,0,234,0,192,0,93,0,80,0,0,0,0,0
22000,314463,0,2690,0,121,0,262,0,159,0,103,0,100,0,0,0,0,0
23000,315804,0,3085,0,118,0,258,0,189,0,88,0,74,0,0,0,0,0
24000,314585,0,3638,0,117,0,261,0,193,0,104,0,91,0,1,0,0,0
25000,312819,0,3857,0,124,0,293,0,205,0,94,0,66,0,0,0,0,0
26000,307864,0,4243,0,152,0,265,0,273,0,88,0,77,0,0,0,0,0
27000,305244,0,4982,0,157,0,261,0,180,0,116,0,83,0,0,0,0,0
28000,303139,0,5580,0,150,0,291,0,202,0,99,0,84,0,1,0,0,0
29000,299421,0,5678,0,153,0,309,0,224,0,96,0,75,0,3,0,0,0
30000,300284,0,5516,0,146,0,343,0,239,0,108,0,83,0,1,0,0,0
31000,296329,0,5432,0,154,0,294,0,239,0,121,0,91,0,1,0,0,0
32000,292627,0,5166,0,153,0,307,0,248,0,127,0,89,0,1,0,0,0
33000,293587,0,5171,0,151,0,288,0,239,0,126,0,96,0,1,0,0,0
34000,292644,0,5169,0,166,0,290,0,269,0,128,0,90,0,5,0,0,0
35000,290376,0,5551,0,166,0,327,0,249,0,127,0,101,0,2,0,0,0
36000,289373,0,5276,0,170,0,347,0,266,0,138,0,135,0,3,0,0,0
37000,288707,0,5456,0,183,0,300,0,292,0,141,0,84,0,3,0,0,0
38000,288004,0,5939,0,185,0,299,0,273,0,128,0,112,0,0,0,0,0
39000,289686,0,6829,0,205,0,323,0,292,0,138,0,114,0,0,0,0,0
40000,290502,0,7169,0,216,0,377,0,264,0,153,0,114,0,1,0,0,0
41000,288691,0,7097,0,220,0,343,0,355,0,167,0,115,0,3,0,0,0
42000,286825,0,7544,0,200,0,405,0,309,0,176,0,121,0,4,0,0,0
43000,283366,0,7587,0,227,0,367,0,355,0,177,0,127,0,1,0,0,0
44000,284858,0,7313,0,246,0,403,0,334,0,164,0,136,0,3,0,0,0
45000,283571,0,7973,0,282,0,399,0,328,0,175,0,138,0,0,0,0,0
46000,280847,0,8236,0,295,0,408,0,287,0,188,0,132,0,5,0,0,0
47000,279812,0,9025,0,312,0,412,0,370,0,176,0,121,0,6,0,0,0
48000,277774,0,8472,0,279,0,433,0,382,0,174,0,127,0,5,0,0,0
49000,279386,0,9005,0,337,0,501,0,365,0,195,0,139,0,4,0,0,0
50000,276974,0,9286,0,326,0,1042,0,397,0,169,0,138,0,3,0,0,0
