update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,21985,0,18,0,3,0,10,0,3,0,0,0,0,0,0,0,0,0
2000,20034,0,4,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0
3000,20011,0,8,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0
4000,19999,0,10,0,2,0,2,0,3,0,1,0,2,0,0,0,0,0
5000,20016,0,9,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0
6000,19950,0,14,0,1,0,8,0,4,0,0,0,1,0,0,0,0,0
7000,19976,0,10,0,4,0,9,0,2,0,1,0,1,0,0,0,0,0
8000,20069,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9000,19946,0,8,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0
10000,19990,0,7,0,3,0,4,0,2,0,1,0,2,0,0,0,0,0
11000,19888,0,10,0,3,0,5,0,5,0,1,0,4,0,0,0,0,0
12000,20009,0,11,0,2,0,6,0,1,0,3,0,0,0,0,0,0,0
13000,20009,0,8,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0
14000,19949,0,8,0,3,0,7,0,4,0,3,0,0,0,0,0,0,0
15000,19982,0,11,0,2,0,4,0,2,0,2,0,1,0,0,0,0,0
16000,20020,0,6,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0
17000,20002,0,6,0,2,0,3,0,2,0,3,0,1,0,0,0,0,0
18000,19926,0,9,0,2,0,8,0,3,0,1,0,4,0,0,0,0,0
19000,19945,0,9,0,1,0,7,0,2,0,1,0,2,0,0,0,0,0
20000,19950,0,7,0,3,0,4,0,2,0,3,0,0,0,0,0,0,0
21000,20009,0,13,0,1,0,7,0,0,0,0,0,3,0,0,0,0,0
22000,19903,0,8,0,1,0,7,0,2,0,3,0,3,0,0,0,0,0
23000,19959,0,12,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0
24000,20002,0,11,0,2,0,3,0,1,0,2,0,1,0,0,0,0,0
25000,20047,0,3,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0
26000,19879,0,14,0,1,0,4,0,8,0,3,0,3,0,0,0,0,0
27000,19931,0,7,0,1,0,11,0,4,0,1,0,0,0,0,0,0,0
28000,19920,0,14,0,0,0,8,0,3,0,0,0,3,0,0,0,0,0
29000,20024,0,8,0,0,0,4,0,2,0,3,0,0,0,0,0,0,0
30000,19904,0,15,0,1,0,5,0,2,0,3,0,3,0,0,0,0,0
31000,19871,0,11,0,3,0,13,0,1,0,1,0,5,0,0,0,0,0
32000,19904,0,11,0,1,0,9,0,3,0,1,0,4,0,0,0,0,0
33000,19923,0,12,0,0,0,8,0,3,0,1,0,3,0,0,0,0,0
34000,19901,0,19,0,3,0,11,0,5,0,1,0,0,0,0,0,0,0
35000,19867,0,15,0,3,0,8,0,7,0,1,0,1,0,0,0,0,0
36000,19945,0,8,0,3,0,5,0,1,0,4,0,1,0,0,0,0,0
37000,19905,0,8,0,0,0,4,0,6,0,3,0,1,0,0,0,0,0
38000,19923,0,10,0,2,0,8,0,2,0,0,0,3,0,0,0,0,0
39000,19928,0,14,0,0,0,8,0,2,0,2,0,1,0,0,0,0,0
40000,19905,0,10,0,1,0,2,0,9,0,2,0,3,0,0,0,0,0
41000,19851,0,10,0,2,0,9,0,3,0,2,0,4,0,0,0,0,0
42000,19993,0,10,0,3,0,1,0,5,0,0,0,0,0,0,0,0,0
43000,19884,0,18,0,3,0,2,0,6,0,3,0,1,0,0,0,0,0
44000,19940,0,10,0,0,0,6,0,5,0,1,0,0,0,0,0,0,0
45000,19962,0,6,0,4,0,5,0,2,0,2,0,0,0,0,0,0,0
46000,19792,0,10,0,2,0,4,0,9,0,4,0,3,0,0,0,0,0
47000,19888,0,12,0,2,0,7,0,5,0,0,0,4,0,0,0,0,0
48000,19939,0,13,0,0,0,4,0,5,0,2,0,0,0,0,0,0,0
49000,19883,0,10,0,1,0,4,0,7,0,2,0,1,0,0,0,0,0
50000,19907,0,6,0,0,0,7,0,8,0,4,0,3,0,0,0,0,0
